topic1|topic2|topic3|topic4|topic5|topic6|topic7|topic8|topic9|topic10|topic11|topic12|topic13|topic14|topic15|topic16|topic17|topic18|topic19|topic20|persona|user_id
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|6|0|18|46
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|47
0|0|0|0|0|0|0|3|4|0|0|0|0|0|0|2|1|0|0|0|3|48
1|1|0|0|1|0|0|0|0|0|0|4|0|2|0|0|0|0|0|0|19|49
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|11|50
0|0|0|0|0|0|0|0|8|0|2|0|0|0|0|0|0|0|0|0|3|51
3|0|0|0|0|0|0|0|2|4|0|0|0|0|0|0|0|0|0|0|8|52
0|0|0|0|0|0|0|0|0|5|4|0|0|0|0|0|0|0|0|0|0|53
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|54
0|0|0|0|0|0|0|0|0|3|7|0|0|0|0|0|0|0|0|0|0|55
0|0|0|1|7|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|22|56
0|0|0|0|0|0|0|0|0|7|2|0|0|0|0|0|0|0|0|0|9|57
0|2|4|0|0|0|0|0|3|0|0|0|0|1|0|0|0|0|1|0|20|58
0|3|0|0|0|0|1|1|0|1|0|1|0|0|0|0|2|0|0|0|17|59
0|0|0|0|1|0|0|9|0|0|0|0|0|0|0|0|0|0|0|0|5|60
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|61
1|1|3|0|0|0|0|0|0|0|3|0|1|0|0|0|0|0|0|0|20|62
4|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|4|0|8|63
0|0|0|0|1|0|1|0|1|0|4|0|0|0|0|0|2|0|0|1|0|64
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|6|12|65
0|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|0|0|0|9|66
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|67
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|68
0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|2|5|0|11|69
0|0|0|0|7|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|22|70
2|0|0|0|0|1|0|0|7|0|0|0|0|0|0|0|0|0|0|0|3|71
0|0|0|2|0|0|0|0|0|1|0|0|0|0|0|0|6|0|0|1|6|72
0|0|0|0|0|1|0|0|9|0|0|0|0|0|0|0|0|0|0|0|3|73
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|11|74
0|0|0|0|0|0|0|0|0|8|0|0|0|2|0|0|0|0|0|0|9|75
0|0|0|0|0|0|0|0|0|0|1|0|0|9|0|0|0|0|0|0|21|76
0|0|0|0|0|0|0|0|7|0|3|0|0|0|0|0|0|0|0|0|3|77
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|78
7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|8|79
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9|0|0|0|6|80
1|0|0|0|0|0|0|0|1|8|0|0|0|0|0|0|0|0|0|0|9|81
0|0|0|0|1|0|0|1|1|3|0|0|0|0|0|0|4|0|0|0|7|82
0|0|0|0|7|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|22|83
0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|1|0|0|2|9|84
0|6|0|0|0|0|0|2|0|0|0|0|0|0|0|0|1|0|0|1|17|85
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|86
0|0|0|8|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|10|87
0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|9|0|0|0|0|1|88
7|0|0|0|0|0|0|0|0|2|0|0|1|0|0|0|0|0|0|0|8|89
1|2|0|0|0|1|0|4|0|0|0|0|0|1|0|0|0|0|0|0|5|90
0|0|0|0|0|0|0|3|1|0|0|0|0|0|0|1|0|0|0|4|12|91
0|1|1|2|0|0|0|0|0|1|0|3|1|0|0|0|0|0|0|0|19|92
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|93
0|1|0|0|0|0|0|0|0|0|0|6|0|0|0|0|1|0|0|0|19|94
0|0|0|1|5|0|1|0|0|0|0|0|1|0|0|0|2|0|0|0|4|95
0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|4|0|0|0|3|96
0|0|0|0|0|0|1|1|9|0|0|0|0|0|0|0|0|0|0|0|3|97
0|9|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|17|98
0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|3|0|2|99
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|3|0|18|100
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|101
0|0|0|4|2|0|2|0|0|0|0|0|0|0|0|1|0|0|0|0|10|102
0|0|0|0|0|0|0|0|3|6|0|0|0|0|0|0|0|1|0|0|9|103
0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|8|0|11|104
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|105
2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|4|0|0|3|7|106
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|107
4|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|9|108
0|0|0|4|2|0|0|0|0|2|1|2|0|0|0|0|0|0|0|0|10|109
0|0|0|4|0|0|0|0|0|0|0|3|1|0|0|1|0|0|0|0|10|110
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|111
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|112
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|9|0|11|113
0|0|0|0|0|0|0|1|9|0|0|0|0|0|0|0|0|0|0|0|3|114
0|0|0|0|0|0|0|0|3|0|0|0|0|7|0|0|0|0|0|0|21|115
1|0|1|0|0|0|0|1|0|0|0|0|0|0|0|2|0|0|4|0|18|116
0|0|0|0|0|0|0|0|0|3|6|0|0|0|0|1|0|0|0|0|0|117
0|0|0|0|0|0|6|0|3|0|0|0|0|1|0|0|0|0|0|0|16|118
0|1|0|1|0|0|0|0|0|2|2|0|1|0|0|0|0|0|3|0|2|119
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|120
0|0|0|0|0|2|0|0|1|3|0|0|0|0|0|0|3|0|1|0|7|121
0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|9|0|0|0|6|122
1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|6|123
0|0|0|0|0|0|0|0|1|0|8|0|0|0|0|0|0|0|0|0|0|124
0|0|0|0|2|0|0|2|1|0|2|0|3|0|0|0|0|0|0|0|4|125
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|126
0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|3|0|0|2|0|22|127
0|0|0|0|1|0|0|2|0|1|0|0|3|0|0|0|3|0|0|1|7|128
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|129
0|0|0|0|1|0|0|0|0|1|0|6|0|0|0|0|0|0|1|0|19|130
10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|131
2|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|21|132
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|133
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|6|0|18|134
0|0|0|4|0|0|2|0|0|0|0|3|0|0|0|1|0|0|0|0|10|135
9|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|8|136
0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|2|0|0|0|0|0|137
0|0|0|0|0|0|0|2|0|1|0|0|0|0|0|0|6|0|0|0|6|138
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|11|139
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|140
0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|2|0|9|141
0|1|0|0|0|0|0|0|5|0|0|0|0|0|0|4|0|0|0|0|3|142
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|143
1|0|1|0|0|0|0|0|0|1|1|0|0|0|0|0|4|0|1|0|7|144
0|0|0|2|0|0|1|0|0|1|0|4|0|0|0|1|0|0|2|0|19|145
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|146
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|147
0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|3|148
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|149
1|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|7|0|11|150
0|5|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|1|17|151
0|0|0|0|0|0|0|0|0|2|0|0|6|0|0|0|0|0|0|2|14|152
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|13|153
0|0|0|0|0|0|0|0|7|0|0|0|0|2|0|0|0|0|0|0|3|154
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|155
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|6|156
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|157
2|1|0|6|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|10|158
0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|1|0|0|1|0|9|159
0|0|0|0|0|0|0|0|0|1|0|0|0|9|0|0|0|0|0|0|21|160
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|7|2|0|0|6|161
0|0|0|0|0|0|0|0|0|5|5|0|0|0|0|0|0|0|0|0|0|162
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|13|163
0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|1|0|0|3|0|2|164
0|0|0|0|0|0|0|0|2|0|6|0|0|0|0|2|0|0|0|0|0|165
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|2|0|1|166
0|0|0|0|0|0|0|4|0|0|0|0|0|5|0|0|0|0|0|0|21|167
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|168
0|0|0|0|0|0|0|6|1|0|0|0|0|0|0|3|0|0|0|0|5|169
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|170
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|171
0|0|0|0|0|0|0|3|0|0|0|0|0|6|0|0|0|0|0|0|21|172
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|173
0|0|0|0|0|0|0|0|0|2|0|0|7|0|0|0|0|0|1|0|14|174
0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|7|12|175
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|11|176
0|0|1|0|0|0|0|0|2|0|3|0|0|1|0|2|0|0|0|0|0|177
0|0|0|2|0|0|0|0|0|2|2|0|0|0|0|0|1|0|1|1|7|178
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|5|0|18|179
0|0|0|0|0|0|0|0|0|0|5|0|4|0|1|0|0|0|0|0|0|180
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|1|0|0|5|0|2|181
0|0|0|0|0|0|0|0|4|6|0|0|0|0|0|0|0|0|0|0|9|182
0|0|0|7|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|183
1|3|0|0|0|0|0|0|0|0|0|0|2|0|1|0|2|0|0|0|17|184
4|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|6|0|0|0|6|185
0|0|0|4|0|0|0|0|0|3|0|0|0|0|0|2|0|0|0|0|10|186
0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|6|187
0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|12|188
1|1|0|0|0|0|0|2|1|0|0|0|0|0|0|0|3|0|0|0|7|189
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|190
0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|9|0|0|0|0|1|191
0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|8|0|11|192
0|0|0|3|0|0|0|0|0|1|0|1|2|0|0|0|0|0|2|1|10|193
0|0|0|1|2|0|0|2|0|0|0|2|0|0|0|0|3|0|0|1|7|194
0|0|5|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|20|195
5|2|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|8|196
0|0|0|7|0|0|0|0|0|0|0|0|0|0|0|3|0|1|0|0|10|197
0|0|0|0|0|0|0|0|0|0|7|1|0|0|0|0|1|0|0|1|0|198
4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|11|199
0|0|0|1|8|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|22|200
0|0|1|0|0|0|1|0|0|0|0|2|0|1|3|0|1|0|0|0|7|201
1|0|0|0|0|0|0|2|7|0|0|0|0|0|0|0|0|0|0|0|3|202
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|203
1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|6|0|1|0|0|18|204
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|205
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|206
0|1|0|3|0|0|0|0|0|2|0|0|0|0|0|0|3|0|0|1|7|207
0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|7|0|0|0|6|208
6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|8|209
0|0|0|0|4|0|0|0|1|0|0|0|0|0|0|0|3|0|0|0|4|210
0|0|0|0|0|0|0|2|0|1|0|0|0|0|0|2|0|0|0|4|12|211
0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|9|0|0|0|6|212
0|0|0|0|0|0|0|0|0|2|4|0|0|0|0|0|4|0|0|0|0|213
0|1|0|0|0|0|0|0|4|0|0|0|0|4|0|0|0|0|0|0|21|214
0|0|0|0|1|0|0|0|2|0|5|0|0|0|0|0|1|0|0|1|0|215
0|0|5|0|0|0|0|0|0|0|4|1|0|0|0|0|0|0|0|0|20|216
0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|217
0|5|0|1|0|0|0|0|2|0|0|0|0|2|0|0|0|0|0|0|17|218
0|7|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|17|219
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|220
0|0|1|2|0|0|0|0|0|0|1|6|0|0|0|0|0|0|0|0|19|221
0|0|0|1|1|0|0|0|0|1|1|4|2|0|0|0|0|0|0|0|19|222
0|0|0|0|1|0|0|0|0|7|0|0|0|0|0|2|0|0|0|0|9|223
0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|1|3|14|224
0|0|0|0|0|0|0|8|0|0|0|0|0|1|0|0|0|0|0|2|5|225
3|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|3|226
4|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|4|0|8|227
0|0|0|0|0|0|0|0|2|0|0|0|1|0|0|3|2|0|2|0|18|228
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|229
0|0|0|0|4|0|0|1|0|0|0|0|0|0|0|0|0|0|0|5|12|230
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|231
0|0|0|0|0|1|0|0|3|0|0|0|0|0|0|0|5|0|1|0|6|232
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|6|233
0|1|0|0|0|0|0|7|0|0|0|0|1|0|1|0|0|0|0|0|5|234
0|0|0|0|0|2|0|1|2|0|0|0|0|0|0|1|4|0|0|0|7|235
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|9|12|236
0|0|0|0|0|0|0|3|4|0|0|0|0|0|0|0|3|0|0|0|7|237
0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|1|0|9|238
0|6|0|0|0|1|0|3|1|0|0|0|0|0|0|0|0|0|0|0|17|239
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|240
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|241
3|0|0|0|0|0|0|0|0|4|0|0|0|1|0|2|0|0|0|0|8|242
5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|6|243
0|0|2|0|0|0|0|0|0|1|1|1|4|0|0|0|0|0|0|0|14|244
0|0|0|0|1|0|0|0|0|9|0|0|0|0|0|0|0|0|0|0|9|245
0|0|0|0|1|0|1|0|0|0|1|7|0|0|0|0|0|0|0|0|19|246
3|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|3|2|1|8|247
0|0|0|0|0|0|0|0|5|0|5|0|0|0|0|0|0|0|0|0|0|248
0|0|0|0|0|0|0|0|1|1|5|0|0|2|0|0|0|0|0|0|0|249
0|0|4|0|1|0|0|0|3|0|0|0|0|0|0|1|0|0|2|0|20|250
0|0|0|0|0|0|0|0|0|5|4|0|0|0|0|0|0|0|0|0|0|251
7|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|1|0|8|252
0|0|0|0|0|0|0|1|0|0|5|0|0|0|0|0|1|0|0|3|0|253
0|0|0|0|9|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|22|254
0|0|0|0|0|0|4|0|0|3|0|0|0|0|0|2|0|0|0|0|16|255
0|0|0|5|0|0|0|0|0|4|0|0|1|0|0|0|0|0|0|0|10|256
8|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|8|257
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|258
0|0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|2|0|0|259
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|260
0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|7|0|0|1|0|1|261
0|0|0|0|0|0|0|0|0|1|1|0|7|0|0|0|0|0|0|0|14|262
0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|6|12|263
1|5|0|0|0|0|2|0|0|0|0|0|0|2|0|0|0|0|0|0|17|264
0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|2|0|9|265
5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|8|266
0|0|0|4|0|0|0|0|2|0|1|3|0|0|0|0|0|0|0|0|10|267
0|0|0|1|0|0|0|0|1|0|2|5|0|0|0|0|0|0|0|0|19|268
0|4|0|0|0|0|0|0|0|0|0|0|1|3|0|0|2|0|0|0|17|269
4|0|0|0|0|0|2|0|0|1|0|2|1|0|0|0|0|0|0|0|8|270
1|0|0|0|1|0|0|1|0|1|0|0|0|0|0|0|5|0|0|2|6|271
0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|5|0|0|0|6|272
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|273
0|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|1|1|0|0|9|274
0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|275
0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|1|0|19|276
2|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|0|0|1|0|9|277
0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|6|0|0|0|0|18|278
0|1|0|2|2|1|0|0|0|0|0|3|0|1|0|0|0|0|0|0|19|279
0|0|0|2|0|0|0|0|0|1|0|0|6|0|0|0|0|0|0|1|14|280
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|281
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|282
0|0|0|0|0|0|0|0|0|1|9|0|0|0|0|0|0|0|0|0|0|283
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|284
0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|2|2|0|3|0|18|285
1|1|0|0|0|0|0|0|0|0|1|1|6|0|0|0|0|0|0|0|14|286
0|0|0|0|0|0|0|0|0|2|5|0|0|1|0|0|0|0|3|0|0|287
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|8|0|0|0|6|288
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|289
0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|290
0|0|0|0|0|0|0|0|0|1|0|9|0|0|0|0|0|0|0|0|19|291
0|0|1|0|0|0|0|2|6|0|0|0|0|1|0|0|0|0|0|0|3|292
0|0|1|0|0|0|0|1|0|0|0|4|0|0|0|0|3|0|0|0|19|293
0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|7|0|11|294
0|2|0|0|3|0|0|1|0|0|1|0|4|0|0|0|0|0|0|0|14|295
3|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|3|0|1|0|7|296
1|0|0|0|0|0|0|0|1|0|5|0|0|0|0|0|0|0|1|1|0|297
0|0|0|0|1|0|0|3|1|1|0|0|0|0|0|0|1|0|0|2|7|298
1|7|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|17|299
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|6|0|0|0|0|18|300
0|0|0|2|2|0|0|1|0|0|2|3|0|0|0|0|0|0|0|1|19|301
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|302
0|0|2|0|0|0|0|0|0|0|0|5|0|1|0|0|0|0|0|0|19|303
0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|4|0|0|2|0|18|304
0|3|0|0|0|2|0|0|3|0|1|0|0|0|0|0|2|0|0|0|17|305
7|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|1|0|8|306
0|0|0|0|4|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|3|307
0|4|0|1|0|0|1|3|0|0|0|1|0|1|0|0|0|0|0|0|17|308
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|309
7|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|8|310
0|0|0|1|2|0|0|2|0|0|0|0|2|0|0|0|1|0|0|2|4|311
0|0|0|0|0|1|0|8|1|0|0|0|0|0|0|0|0|0|0|0|5|312
0|0|0|1|3|0|1|4|0|0|0|0|0|0|0|0|0|0|0|1|4|313
0|0|0|0|0|0|0|0|0|3|0|1|7|0|0|0|0|0|0|0|14|314
